Customer_ID,Churn_Predict,Probabilidade,Gênero,Idade,Casado,Estado,Número_de_Indicações,Tempo_de_Contrato_Meses,Promoção,Serviço_Telefônico,Múltiplas_Linhas,Serviço_de_Internet,Tipo_de_Internet,Segurança_Online,Backup_Online,Proteção_de_Dispositivo,Suporte_Premium,TV_Streaming,Filmes_Streaming,Música_Streaming,Dados_Ilimitados,Contrato,Fatura_Digital,Método_de_Pagamento,Cobrança_Mensal,Total_Cobrado,Total_Reembolsos,Cobranças_Extras_de_Dados,Cobranças_de_Ligações_Longas,Receita_Total,Status_do_Cliente,Categoria_de_Churn,Motivo_de_Churn,Status_do_Churn,Faixa_Carga_Mensal,Faixa_Idade,Faixa_Tempo_Contrato
13717-UTT,1,0.9440162243984314,Masculino,56,Sim,Uttar Pradesh,15,26,Nenhuma,Sim,Não,Sim,Fibra Óptica,Não,Não,Não,Não,Não,Não,Não,Sim,Mensal,Sim,Débito em Conta,68.95,351.5,0.0,0,93.25,444.75,Permaneceu,Outros,Outros,0,50-100,> 50,>= 24 Meses
86818-MAH,1,0.84133034429052,Feminino,29,Sim,Maharashtra,8,22,Promoção 4,Sim,Sim,Sim,Fibra Óptica,Não,Não,Não,Não,Sim,Não,Não,Sim,Mensal,Sim,Débito em Conta,83.75,1849.95,0.0,0,802.93,2652.88,Permaneceu,Outros,Outros,0,50-100,20-35,18-24 Meses
76566-UTT,1,0.9022267329680754,Masculino,61,Não,Uttar Pradesh,1,20,Promoção 3,Sim,Sim,Sim,Fibra Óptica,Não,Não,Não,Não,Não,Não,Não,Sim,Mensal,Sim,Débito em Conta,75.75,1929.0,0.0,0,682.02,2611.02,Permaneceu,Outros,Outros,0,50-100,> 50,18-24 Meses
28648-DEL,1,0.7408412269453295,Masculino,54,Sim,Delhi,3,14,Nenhuma,Sim,Não,Sim,Fibra Óptica,Não,Não,Não,Sim,Sim,Sim,Sim,Não,Mensal,Sim,Débito em Conta,94.2,2607.6,0.0,20,59.45,2687.05,Permaneceu,Outros,Outros,0,50-100,> 50,12-18 Meses
33514-UTT,1,0.672580638426176,Feminino,28,Sim,Uttar Pradesh,2,3,Promoção 5,Sim,Sim,Sim,Cabo,Não,Não,Não,Não,Não,Não,Não,Sim,Mensal,Não,Débito em Conta,50.35,314.55,0.0,0,255.96,570.51,Permaneceu,Outros,Outros,0,50-100,20-35,< 6 Meses
22573-TAM,1,0.8380003488518866,Masculino,46,Não,Tamil Nadu,9,35,Promoção 4,Sim,Sim,Sim,Fibra Óptica,Não,Não,Sim,Não,Sim,Não,Não,Sim,Mensal,Sim,Débito em Conta,90.8,1442.2,0.0,0,779.36,2221.56,Permaneceu,Outros,Outros,0,50-100,36-50,>= 24 Meses
39892-ODI,1,0.7175327560263534,Masculino,41,Sim,Odisha,3,31,Nenhuma,Sim,Sim,Sim,Fibra Óptica,Não,Sim,Sim,Não,Sim,Sim,Sim,Sim,Mensal,Não,Débito em Conta,107.55,3645.5,0.0,0,1639.77,5285.27,Permaneceu,Outros,Outros,0,> 100,36-50,>= 24 Meses
97688-TAM,1,0.8471355253399772,Feminino,35,Sim,Tamil Nadu,4,29,Nenhuma,Sim,Não,Sim,Fibra Óptica,Não,Não,Sim,Não,Sim,Sim,Sim,Sim,Mensal,Sim,Débito em Conta,94.65,6747.35,0.0,0,2391.84,9139.19,Permaneceu,Outros,Outros,0,50-100,20-35,>= 24 Meses
68369-UTT,1,0.7101869687053365,Feminino,76,Não,Uttar Pradesh,6,12,Nenhuma,Sim,Sim,Sim,Fibra Óptica,Não,Não,Não,Sim,Sim,Sim,Sim,Sim,Mensal,Sim,Débito em Conta,101.25,3949.15,0.0,0,785.85,4735.0,Permaneceu,Outros,Outros,0,> 100,> 50,12-18 Meses
95096-UTT,1,0.8691617219776205,Masculino,38,Não,Uttar Pradesh,0,32,Nenhuma,Sim,Sim,Sim,Fibra Óptica,Não,Não,Não,Não,Sim,Não,Não,Sim,Mensal,Sim,Débito em Conta,86.85,1564.4,0.0,0,148.96,1713.36,Permaneceu,Outros,Outros,0,50-100,36-50,>= 24 Meses
