Customer_ID,Gênero,Idade,Casado,Estado,Número_de_Indicações,Tempo_de_Contrato_Meses,Promoção,Serviço_Telefônico,Múltiplas_Linhas,Serviço_de_Internet,Tipo_de_Internet,Segurança_Online,Backup_Online,Proteção_de_Dispositivo,Suporte_Premium,TV_Streaming,Filmes_Streaming,Música_Streaming,Dados_Ilimitados,Contrato,Fatura_Digital,Método_de_Pagamento,Cobrança_Mensal,Total_Cobrado,Total_Reembolsos,Cobranças_Extras_de_Dados,Cobranças_de_Ligações_Longas,Receita_Total,Status_do_Cliente,Categoria_de_Churn,Motivo_de_Churn,Status_do_Churn,Faixa_Carga_Mensal,Faixa_Idade,Faixa_Tempo_Contrato
19877-DEL,Masculino,35,Não,Delhi,7,27,,Sim,Não,Sim,Cabo,Não,Sim,Não,Sim,Sim,Não,Não,Sim,Um Ano,Sim,Cartão de Crédito,65.6,593.3,0.0,0,381.51,974.81,Permaneceu,,,0,50-100,20-35,>= 24 Meses
58353-MAH,Feminino,45,Sim,Maharashtra,14,13,,Sim,Sim,Sim,Cabo,Não,Não,Não,Não,Não,Sim,Sim,Não,Mensal,Não,Cartão de Crédito,-4.0,542.4,38.33,10,96.21,610.28,Permaneceu,,,0,< 20,36-50,12-18 Meses
25063-WES,Masculino,51,Não,West Bengal,4,35,Promoção 5,Sim,Não,Sim,Fibra Óptica,Não,Não,Sim,Não,Não,Não,Não,Sim,Mensal,Sim,Débito em Conta,73.9,280.85,0.0,0,134.6,415.45,Churned,Concorrente,Concorrente ofereceu dispositivos melhores,1,50-100,> 50,>= 24 Meses
59787-KAR,Masculino,79,Não,Karnataka,3,21,Promoção 4,Sim,Não,Sim,Fibra Óptica,Não,Sim,Sim,Não,Sim,Sim,Não,Sim,Mensal,Sim,Débito em Conta,98.0,1237.85,0.0,0,361.66,1599.51,Churned,Insatisfação,Insatisfação com o produto,1,50-100,> 50,18-24 Meses
28544-TAM,Feminino,80,Não,Tamil Nadu,3,8,,Sim,Não,Sim,Fibra Óptica,Não,Não,Não,Sim,Sim,Não,Não,Sim,Mensal,Sim,Cartão de Crédito,83.9,267.4,0.0,0,22.14,289.54,Churned,Insatisfação,Problemas com rede,1,50-100,> 50,6-12 Meses
32750-TEL,Masculino,24,Não,Telangana,9,2,Promoção 5,Sim,Não,Sim,Cabo,Não,Não,Não,Sim,Sim,Sim,Sim,Sim,Mensal,Sim,Cartão de Crédito,69.4,571.45,0.0,0,150.93,722.38,Permaneceu,,,0,50-100,20-35,< 6 Meses
84741-MAH,Feminino,66,Sim,Maharashtra,9,23,Promoção 1,Sim,Não,Sim,Fibra Óptica,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Dois Anos,Sim,Débito em Conta,109.7,7904.25,0.0,0,707.16,8611.41,Permaneceu,,,0,> 100,> 50,18-24 Meses
65618-GUJ,Masculino,51,Sim,Gujarat,12,24,Promoção 2,Sim,Sim,Sim,Fibra Óptica,Sim,Não,Não,Sim,Não,Não,Não,Não,Dois Anos,Sim,Cartão de Crédito,84.65,5377.8,0.0,20,816.48,6214.28,Permaneceu,,,0,50-100,> 50,>= 24 Meses
64233-GUJ,Feminino,63,Não,Gujarat,4,10,Promoção 5,Sim,Não,Sim,DSL,Sim,Não,Não,Não,Não,Não,Não,Sim,Dois Anos,Sim,Débito em Conta,48.2,340.35,0.0,0,73.71,414.06,Permaneceu,,,0,20-50,> 50,6-12 Meses
23612-UTT,Feminino,41,Não,Uttar Pradesh,3,1,,Sim,Sim,Sim,Cabo,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Dois Anos,Sim,Cartão de Crédito,90.45,5957.9,0.0,0,1849.9,7807.8,Permaneceu,,,0,50-100,36-50,< 6 Meses
45397-RAJ,Masculino,48,Sim,Rajasthan,0,1,,Não,,Sim,Cabo,Sim,Não,Não,Sim,Sim,Não,Não,Sim,Dois Anos,Não,Cartão de Crédito,45.2,2460.55,0.0,0,0.0,2460.55,Permaneceu,,,0,20-50,36-50,< 6 Meses
53023-UTT,Masculino,26,Sim,Uttar Pradesh,6,22,,Sim,Sim,Sim,Fibra Óptica,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Dois Anos,Sim,Cartão de Crédito,116.8,8456.75,0.0,0,1152.72,9609.47,Permaneceu,,,0,> 100,20-35,18-24 Meses
13717-UTT,Masculino,56,Sim,Uttar Pradesh,15,26,,Sim,Não,Sim,Fibra Óptica,Não,Não,Não,Não,Não,Não,Não,Sim,Mensal,Sim,Débito em Conta,68.95,351.5,0.0,0,93.25,444.75,Permaneceu,,,0,50-100,> 50,>= 24 Meses
71897-MAH,Feminino,36,Sim,Maharashtra,8,6,Promoção 1,Sim,Sim,Sim,Fibra Óptica,Sim,Sim,Sim,Não,Sim,Não,Não,Sim,Dois Anos,Sim,Débito em Conta,101.3,7261.25,0.0,0,162.0,7423.25,Permaneceu,,,0,> 100,36-50,6-12 Meses
15776-UTT,Feminino,38,Sim,Uttar Pradesh,1,19,,Não,,Sim,DSL,Sim,Sim,Sim,Sim,Não,Não,Não,Sim,Dois Anos,Não,Débito em Conta,45.05,2560.1,0.0,0,0.0,2560.1,Permaneceu,,,0,20-50,36-50,18-24 Meses
56731-BIH,Feminino,53,Sim,Bihar,5,8,Promoção 1,Sim,Sim,Sim,Fibra Óptica,Não,Sim,Sim,Não,Não,Sim,Sim,Sim,Dois Anos,Sim,Cartão de Crédito,95.75,6849.4,0.0,0,1935.46,8784.86,Permaneceu,,,0,50-100,> 50,6-12 Meses
49302-GUJ,Feminino,47,Não,Gujarat,14,4,,Não,,Sim,DSL,Sim,Não,Sim,Sim,Sim,Sim,Sim,Sim,Um Ano,Não,Cartão de Crédito,61.25,1993.2,0.0,0,0.0,1993.2,Permaneceu,,,0,50-100,36-50,< 6 Meses
93520-GUJ,Feminino,67,Não,Gujarat,13,19,Promoção 5,Sim,Sim,Sim,Fibra Óptica,Não,Não,Não,Não,Não,Não,Não,Sim,Um Ano,Sim,Débito em Conta,72.1,72.1,0.0,0,7.77,79.87,Novo Cliente,,,0,50-100,> 50,18-24 Meses
73360-AND,Feminino,74,Não,Andhra Pradesh,0,30,,Sim,Não,Sim,DSL,Sim,Não,Sim,Não,Não,Sim,Não,Sim,Um Ano,Não,Cartão de Crédito,62.7,2791.5,0.0,0,480.15,3271.65,Churned,Insatisfação,Pouca variedade de serviços,1,50-100,> 50,>= 24 Meses
36756-MAD,Masculino,64,Sim,Madhya Pradesh,15,33,,Não,,Sim,Cabo,Não,Não,Não,Não,Não,Não,Não,Sim,Mensal,Sim,Débito em Conta,25.1,25.1,0.0,0,0.0,25.1,Churned,Concorrente,Concorrente fez oferta melhor,1,20-50,> 50,>= 24 Meses
11925-MAH,Feminino,78,Sim,Maharashtra,12,12,,Sim,Sim,Não,,,,,,,,,,Um Ano,Não,Débito em Conta,25.2,1306.3,0.0,0,1571.5,2877.8,Permaneceu,,,0,20-50,> 50,12-18 Meses
87346-MAD,Feminino,29,Sim,Madhya Pradesh,12,20,,Sim,Sim,Sim,Fibra Óptica,Não,Sim,Sim,Não,Sim,Não,Não,Sim,Mensal,Não,Débito em Conta,94.1,1215.6,0.0,0,566.28,1781.88,Churned,Outro,Não sabe/Não informado,1,50-100,20-35,18-24 Meses
86818-MAH,Feminino,29,Sim,Maharashtra,8,22,Promoção 4,Sim,Sim,Sim,Fibra Óptica,Não,Não,Não,Não,Sim,Não,Não,Sim,Mensal,Sim,Débito em Conta,83.75,1849.95,0.0,0,802.93,2652.88,Permaneceu,,,0,50-100,20-35,18-24 Meses
57256-BIH,Feminino,18,Não,Bihar,9,7,,Sim,Não,Não,,,,,,,,,,Mensal,Não,Cartão de Crédito,19.85,57.2,0.0,0,9.36,66.56,Novo Cliente,,,0,< 20,< 20,6-12 Meses
65431-CHH,Feminino,31,Não,Chhattisgarh,12,24,Promoção 5,Sim,Não,Não,,,,,,,,,,Mensal,Não,Cartão de Crédito,20.35,76.35,0.0,0,49.72,126.07,Churned,Preço,Taxas de longa distância,1,20-50,20-35,>= 24 Meses
13829-PUN,Feminino,34,Sim,Punjab,12,26,,Não,,Sim,DSL,Sim,Não,Não,Não,Não,Não,Não,Sim,Mensal,Não,Débito em Conta,30.5,30.5,0.0,0,0.0,30.5,Churned,Atitude,Atendimento insatisfatório,1,20-50,20-35,>= 24 Meses
19279-UTT,Feminino,35,Não,Uttar Pradesh,14,18,,Sim,Não,Sim,Fibra Óptica,Não,Sim,Sim,Sim,Sim,Sim,Sim,Não,Um Ano,Sim,Débito em Conta,103.7,5656.75,0.0,20,1927.2,7603.95,Permaneceu,,,0,> 100,20-35,18-24 Meses
27129-TAM,Masculino,44,Sim,Tamil Nadu,0,23,,Sim,Não,Não,,,,,,,,,,Dois Anos,Não,Cartão de Crédito,20.4,1090.6,0.0,0,1063.8,2154.4,Permaneceu,,,0,20-50,36-50,18-24 Meses
81327-JHA,Feminino,69,Sim,Jharkhand,6,3,Promoção 3,Sim,Não,Não,,,,,,,,,,Um Ano,Sim,Débito em Conta,19.6,471.85,21.25,0,980.2,1430.8,Permaneceu,,,0,< 20,> 50,< 6 Meses
42012-UTT,Feminino,49,Não,Uttar Pradesh,8,2,,Sim,Não,Não,,,,,,,,,,Dois Anos,Não,Débito em Conta,19.7,1396.9,0.0,0,2648.91,4045.81,Permaneceu,,,0,< 20,36-50,< 6 Meses
79321-MAH,Feminino,22,Sim,Maharashtra,4,8,Promoção 3,Sim,Não,Sim,Fibra Óptica,Não,Não,Não,Não,Sim,Sim,Sim,Sim,Um Ano,Não,Cartão de Crédito,91.2,3247.55,0.0,0,1591.37,4838.92,Permaneceu,,,0,50-100,20-35,6-12 Meses
